key,en_us
SWORD_SPIRIT_R_CHAT_1,"Oh, you were."
SWORD_SPIRIT_R_CHAT_2,"Well that's unfortunate."


DEMO_THANKS,"End of Demo\nThanks for Playing!"
DEMO_1,"Hello sorry. I am the Detour-Envoking Motionless Orbee."
DEMO_2,"Unfortunately, I will not let you past this point."
DEMO_3,"I mean, I would love to. But it's impossible. I'm too $!*damn fat to move"
DEMO_R_1,"I dunno what's behind me, but it's really cool."
DEMO_R_2,"And by cool, I mean cold. I think I have hypothermia"
NOT_DEMO_1,"Hello sorry. I'm not the Detour-Envoking Motionless Orbee."
NOT_DEMO_2,"I was gifted size and thought from my creator."
NOT_DEMO_3,"She told me things most strange. That I must block the ""truth."""
NOT_DEMO_4,"Now I am ""stuck."" In middle of the ""path."" Goodbye."
NOT_DEMO_R_1,"You want it. The ""truth."" Not of this world, but another."
NOT_DEMO_R_2,"She said the road beyond is incomplete. Will it ever be complete? Unknown."
NOT_DEMO_R_3,"Perhaps, if you find your way on another plane, you can get past."
NOT_DEMO_R_4,"Another plane. Another world. Another dimension."
NOT_DEMO_R_5,"Ha ha... it sounds impossible."
NOT_DEMO_R_6,"...But when has something impossible ever stopped you?"

NIMBUS_SPEECH_1,"...Missing something?"
NIMBUS_SPEECH_2,"I heard the stories. Everyone has. A dragon of endless mass, but a body of pure energy."
NIMBUS_SPEECH_3,"No matter... except for an artifact for a heart."
NIMBUS_SPEECH_4,"Don't worry. I don't want to steal your heart. This is useless for me."
NIMBUS_SPEECH_5,"Just, let this be a warning. This is what happens if you come after me."


SPOREMOTHER_INTRO_1,"Hello, hello. I am Sporemother."
SPOREMOTHER_INTRO_2,"The other is Sporemother too. Perhaps we are all Sporemother."
SPOREMOTHER_INTRO_3,"Our hyphae reach across the entire valley. We see, feel, know all. Including you, Echo."
SPOREMOTHER_INTRO_4,"We know things that would help you. We can share our knowledge, for a price."
SPOREMOTHER_OPT_NO_NO_NO,"No No No No No"
SPOREMOTHER_OPT_ELABORATE,"Elaborate"
SPOREMOTHER_ELABORATE_1,"Hm, suspicious. Of course."
SPOREMOTHER_ELABORATE_2,"To access our knowledge, you will need to watch a young sporeling."
SPOREMOTHER_ELABORATE_3,"Give an offering, some energy, and it will tell you everything."
SPOREMOTHER_ELABORATE_4,"Do you wish to help?"
SPOREMOTHER_YES_1,"Wonderful. We knew you would."
SPOREMOTHER_YES_2,"Be careful, it hungers."
SPOREMOTHER_YES_MUSH_1,"Oh! You have MUSH-MEAL!"
SPOREMOTHER_YES_MUSH_2,"We knew you to be a great host. You have arrived quite prepared."
SPOREMOTHER_YES_3,"Take care of it, now."
SPOREMOTHER_NO_1,"Hm, a shame."
SPOREMOTHER_NO_2,"We will be here when you change your mind."

SPOREMOTHER_R_WITH_1,"It's wonderful to see you! It looks like it's growing quite well, too."
SPOREMOTHER_R_WITH_2,"You've been a wonderful host. I hope the knowledge has been kind to you."
SPOREMOTHER_R_WITH_3,"How have been things?"
SPOREMOTHER_OPT_REMOVE_NO_MUSH,"Please take it off"
SPOREMOTHER_OPT_KEEP_NO_MUSH,"It's... great"
SPOREMOTHER_KEEP_NO_MUSH_1,"Wonderful. I'm glad it has been treating you so well."
SPOREMOTHER_KEEP_NO_MUSH_2,"The last host was less capable. Your fatty frame has proven far better."
SPOREMOTHER_REMOVE_NO_MUSH_1,"Hm? You want it removed? A shame."
SPOREMOTHER_REMOVE_NO_MUSH_2,"Oh well. Better no host than a resistant one."
SPOREMOTHER_REMOVE_NO_MUSH_3,"It looks extremely well-fed in your care. I pray you will return at some point."

SPOREMOTHER_R_WITH_MUSH_1,"It's wonderful to see you! It seems to be enjoying that MUSH-MEAL as well."
SPOREMOTHER_R_WITH_MUSH_2,"We have been so lucky to have a responsible host like you."
SPOREMOTHER_OPT_KEEP_MUSH,"It's great!"
SPOREMOTHER_OPT_REMOVE_MUSH,"Here, take it back"
SPOREMOTHER_KEEP_MUSH_1,"Wonderful. I'm glad it has been treating you so well."
SPOREMOTHER_KEEP_MUSH_1,"The last host was less capable. Your feeding regimen has proven far better."
SPOREMOTHER_REMOVE_MUSH_1,"Hm? You don't want to have it anymore? Even with the MUSH-MEAL?"
SPOREMOTHER_REMOVE_MUSH_2,"Oh, I know what is happening. You need not say more."
SPOREMOTHER_REMOVE_MUSH_3,"You must have a date with another Sporecap, and wish to give them the MUSH-MEAL as a gift."
SPOREMOTHER_REMOVE_MUSH_4,"Of course, of course. We can take the sporeling back for now."
SPOREMOTHER_REMOVE_MUSH_5,"We hope your romantic pursuits succeed as well as your parenting, Echo."

SPOREMOTHER_R_WITHOUT,"Have you changed your mind? Will you take our knowledge?"


CRATER_WORK_MICE,"They're hard at work."
CRATER_WORK_MICE_R,"You don't know what they're doing, but they're doing a great job."

SONIA_REFIGHT_HINT_1,"There is a sign hidden in the crevice. "
SONIA_REFIGHT_HINT_2,"The only words you can make out are ""How to access my secret Second Office."""
SONIA_REFIGHT_HINT_3,"Perhaps if you could get closer to the sign, you could learn the secret..."
SONIA_REFIGHT_SIGN_1,"""How to access my secret Second Office"""
SONIA_REFIGHT_SIGN_2,"""Like I'd tell YOU! AHAHAHAHA!!!!!\n\nLove, Sonia~`"""
SONIA_REFIGHT_SIGN_3,"(...You get the feeling you have everything you need without her help.)"

HILLS_SECRET,"...?? You see a path behind a thicket of branches, perfectly out of range..."


#Journal entries
JOURNAL_AFFAMAE_NAME,"Affamae"
JOURNAL_AFFAMAE_DESC,"A one-armed monster obsessed with food. I get the feeling that, if I stick around, I will become their next meal..."
JOURNAL_ARTIFACT_NAME,"Artifact of Echo"
JOURNAL_ARTIFACT_DESC,"Believed to be the core of the legendary dragon, Echo. For a legendary being, its energy readings are very low..."
JOURNAL_BEE_CANNON_NAME,"Wasp-Cannon"
JOURNAL_BEE_CANNON_DESC,"While they look more active than the Orbees,\nthey just shoot problems with honey until the Orbees do it for them."
JOURNAL_BEEORB_NAME,"Orbee"
JOURNAL_BEEORB_DESC,"Lazy, gluttonous bees who do nothing without the promise of food. Very cute, and painfullly relatable."
JOURNAL_BIG_LIZARD_NAME,"Geckordo"
JOURNAL_BIG_LIZARD_DESC,"A Geckito that has explored the valley and been rewarded. They are strong, not in spite of, but due to their massive size."
JOURNAL_BIG_PLANTS_NAME,"Chromatic Flora"
JOURNAL_BIG_PLANTS_DESC,"Three plants that have populated these caves for centuries. Even among flowers, it seems mass equals power in this valley."
JOURNAL_BRAMBLE_BALL_NAME,"Bramble-Ball"
JOURNAL_BRAMBLE_BALL_DESC,"A mindless clump of torn-up plant matter. Some people claim to see a face among the tangle... I can't see it."
JOURNAL_CORVID_ROOK_NAME,"Corvid Rook"
JOURNAL_CORVID_ROOK_DESC,"Mages in the corvid court, with a belly to match. Through my intense research, I've translated their name as ""Crow Crow""."
JOURNAL_CRAB_NAME,"Clobber Crab"
JOURNAL_CRAB_DESC,"As the Depths dried, these beasts became angry and territorial. They help Sonia with her tower in exchange for peace & quiet."
JOURNAL_CROW_NAME,"Corvid Pawn"
JOURNAL_CROW_DESC,"Slimmest among the bird chivalry in the Valley, and lowest ranking. Moderately okay with a bow and a knife."
JOURNAL_DANIEL_NAME,"Daniel"
JOURNAL_DANIEL_DESC,"Top worker of the Pyrite Plunge, and the only one keeping anything running. He is\nthe most agreeable person I've met here."
JOURNAL_FATBAT_NAME,"Fat Bat"
JOURNAL_FATBAT_DESC,"A bat that is fat. Enjoys biting those who walk by. They annoy me greatly, and I wish they'd be fattened to immobility."
JOURNAL_FLUTTERFISH_NAME,"Flutterfish"
JOURNAL_FLUTTERFISH_DESC,"These caves dried up centuries ago, and yet\nthese fish persist. Nature is mysterious and scary. Also, very tasty."
JOURNAL_HEDGEHOG_NAME,"Hedgehog"
JOURNAL_HEDGEHOG_DESC,"A perfect specimen. They walk around aimlessly, hurting none\nbut those who dare interfere with their wander."
JOURNAL_HUGEHOG_NAME,"Huge-hog"
JOURNAL_HUGEHOG_DESC,"An immobile hedgehog, likely ten times my weight. It's staring at me hungrily. Perhaps I can feed it when I'm done with this page."
JOURNAL_IMMOBILE_BEEORB_NAME,"Orbee (Immobile)"
JOURNAL_IMMOBILE_BEEORB_DESC,"The natural end-state of the Orbees' diet. I wonder if science could get them fatter?\nFor research purposes,\nof course."
JOURNAL_JOURNALIST_NAME,"Maxwell Flinthelm II"
JOURNAL_JOURNALIST_DESC,"The handsome, amazing author of the very journal you're reading!\nBe sure to check out my other works if you enjoy this one!"
JOURNAL_KARA_NAME,"Kara"
JOURNAL_KARA_DESC,"She claims to be a cryptid called a ""Shift-Claw"". There are no recorded instances of this species. ????????"
JOURNAL_LIL_MUSHROOM_NAME,"Sporeling"
JOURNAL_LIL_MUSHROOM_DESC,"What is it hiding? There is something strange happening with\nthese mushrooms, and I will get to the bottom of it."
JOURNAL_MONGOOSE_NAME,"- Edgar -"
JOURNAL_MONGOOSE_DESC,"The local monarch. Claims to have ignited Charred Caverns (despite being a volcano for centuries). Addicted to ice cream."
JOURNAL_OLHM_NAME,"Olhm"
JOURNAL_OLHM_DESC,"Long, electrified olms who dart around under the Sporeways. Cursed with electricity\npowers, despite being mostly pacifistic."
JOURNAL_SCARE_DRAGON_NAME,"Scaredrake"
JOURNAL_SCARE_DRAGON_DESC,"Scarecrow designed to keep Echo away. At first they seem laughable, but then I realized, I haven't seen Echo near them..."
JOURNAL_SMALL_LIZARD_NAME,"Geckito"
JOURNAL_SMALL_LIZARD_DESC,"Anxious lizards who don't stray far from their resting grounds. The fires on their back keep them warm away from sunlight."
JOURNAL_SMALL_PLANTS_NAME,"Chromatic Buds"
JOURNAL_SMALL_PLANTS_DESC,"Far-flung buds of the Chromatic Flora found deep in the caves. Their power weakend\nas the tower overtook their domain."
JOURNAL_SNAIL_NAME,"Snail"
JOURNAL_SNAIL_DESC,"Perfect. Flawless. A being with naught but love in its heart and\na desire to do right by those around it."
JOURNAL_SONIA_NAME,"- Sonia -"
JOURNAL_SONIA_DESC,"The brilliant tycoon in charge of mining gold. A genius, and I'm not just saying that to get a book deal, but if she offered then"
JOURNAL_SPIDER_NAME,"Spider"
JOURNAL_SPIDER_DESC,"A welcome friend. Too fat & bloated from eating bugs to threaten someone my size. They make for a comfy seat as well."
JOURNAL_SPIKE_HEDGEHOG_NAME,"Spike-hog"
JOURNAL_SPIKE_HEDGEHOG_DESC,"King Edgar wanted to generate jobs, so he hired Hedgehogs to be spikes. Pay is 100g of Pyrite an hour, or about $0.001."
JOURNAL_SPOREMOTHER_NAME,"Sporemother"
JOURNAL_SPOREMOTHER_DESC,"I asked for answers on the Sporecaps, and she made me raise one\nto adulthood. It just gave me a map! It didn't answer anything!!"
JOURNAL_STANDARD_MUSHROOM_NAME,"Sporecap"
JOURNAL_STANDARD_MUSHROOM_DESC,"A mushroom. Are they sapient? Sentient? They has a face, do they have secrets? What won't they tell me??"
JOURNAL_SWORD_SPIRIT_NAME,"Spirit of the Sword"
JOURNAL_SWORD_SPIRIT_DESC,"A tubby ghost that mocked me for being unable to free her sword. I hit it with a hammer a few times, it\nstill wouldn't budge!"
JOURNAL_WOLF_NAME,"Hefthire Wolf"
JOURNAL_WOLF_DESC,"Hired bodyguards, most\nof whom glut out while\nnothing of note happens. Their combat ability is... theoretical."


#Inventory items
ITEM_FOOD_NAME,Food
ITEM_FOOD_1,Meal for flesh beings. Prepared by the best chef in Heftwind Hills.
ITEM_FOOD_2,Meal for flesh beings. Cooked perfectly over magma. Somehow.
ITEM_FOOD_3,Meal for flesh beings. Seared by Olhms in the Verdant Caverns.
ITEM_FOOD_4,"Meal for flesh beings. Labeled ""Sonia's DO NOT STEAL."" Oops"
ITEM_FOOD_5,"Meal for flesh beings. Cooled by mountain air, but still edible."
ITEM_FOOD_6,Meal for flesh beings. A deceptively sublime vegan imitation meat.
ITEM_FOOD_7,Meal for flesh beings. Slow-cooked over a toasty fire.
ITEM_FOOD_8,"Meal for flesh beings. A little airborne, but still good."

ITEM_ENERGY_NAME,"Draconic Energy"
ITEM_ENERGY_1,A shred of power. Was hidden away by Edgar's predecessor.
ITEM_ENERGY_2,A shred of power. It seeped into the Sporeways long ago.
ITEM_ENERGY_3,A shred of power. Smells like freshly cut grass.
ITEM_ENERGY_4,A shred of power. Made sticky & sweet with honey.
ITEM_ENERGY_5,A shred of power. Sold at an outrageous price. Bought on sale.
ITEM_ENERGY_6,"A shred of power. Is this yours, or the plants of the deep's?"

ITEM_CORE_NAME,"Portal Core"
ITEM_BROKEN_CORE_NAME,"Portal Core Scraps"
ITEM_CORE_1,A mysterious object. Feels ice-cold to the touch.
ITEM_CORE_2,A mysterious object. Shines with nary a scratch or blemish.
ITEM_CORE_3,A mysterious object. An unfamiliar fungus grows on its shell.
ITEM_CORE_4,A mysterious object. A faint mountain breeze whistles through it.
ITEM_CORE_5,A mysterious object. A brown leaf is stuck on the inside.
ITEM_CORE_6,A mysterious object. It radiates the warmth of a sunny day.
ITEM_BROKEN_CORE,Broken when opening a portal. Refracted light dances off the shards.

ITEM_ARTIFACT_NAME,"Artifact"
ITEM_ARTIFACT,"Your heart, brain, lungs, everything.\nNot to be lost ever."

ITEM_JOURNAL_1_NAME,"""Faces of the Valley"""
ITEM_JOURNAL_1,A catalog of species and people. Read it in the Pause menu!
ITEM_JOURNAL_2_NAME,"Echo's Journal"
ITEM_JOURNAL_2,A diary from the past few years. Best read at Home.
ITEM_JOURNAL_3_NAME,"Aged Journal"
ITEM_JOURNAL_3,An old diary of the past few centuries. Best read at Home.

ITEM_SWORD_BLADE_NAME,"Legend Sword (Blade)"
ITEM_SWORD_HILT_NAME,"Legend Sword (Hilt)"
ITEM_SWORD_BLADE,Blade of a broken sword. Increases attack damage. Badass
ITEM_SWORD_HILT,Hilt of a broken sword. Increases attack range. Neato

ITEM_MUSH_NAME,"Mycelium Map"
ITEM_MUSH,Parasite that shows everything on the map. Questionable.
ITEM_MUSH_MEAN_NAME,"Mush-Meal"
ITEM_MUSH_MEAL,Mushroom food. Thankfully you have no sense of smell.
ITEM_MUSH_IN_MEAL_NAME,"Mush-Meal (Occupied)"
ITEM_MUSH_IN_MEAL,Happiest Sporecap. Shows everything on the map. Friend?

ITEM_PYRITE_NAME,"Pyrite"
ITEM_MAX_PYRITE_NAME,"Excessive Pyrite"
ITEM_PYRITE,Utterly useless metal.\n\nYou have %d.
ITEM_MAX_PYRITE,Why did you do this.\n\nYou have 500.

ITEM_POISON_NAME,"Poisoned Soup"
ITEM_POISON,Attempted murder meal. Gives corrosive fireballs instead.

ITEM_CRUSHED_CLAW_NAME,"Crushed Claw"
ITEM_CRUSHED_CLAW,The hand that feeds was bit. Increases attack damage.

ITEM_INJECTOR_NAME,Portal Injector
ITEM_INJECTOR_XL_NAME,Portal Injector XL
ITEM_INJECTOR,Allows opening portals w/ a Portal Core. A sleek design.
ITEM_INJECTOR_XL,Allows opening portals wide enough for your fat ass


#New text engine
DANIEL_1,"Heyo. Sorry about before. Name's Daniel."
DANIEL_2,"When you ran in like that, we thought you were a pinkerton or something."
DANIEL_3,"I remember seeing you in Sonia's office, though. You're the one that showed her what for!"
DANIEL_4,"Only wish we had more to offer right now, we're kinda short on resouces."
DANIEL_5,"Do you have any, like, favors you need help with?"
DANIEL_C_BIG_RED,"Trapped flower"
DANIEL_C_NOT_NOW,"Not right now"

DANIEL_NOT_NOW_1,"Alright, well let me know if you can think of anything."
DANIEL_NOT_NOW_2,"For now though, I'll let Frank release you back to society."
DANIEL_NOT_NOW_R_1,"Hey there! Think up anything you'd like me to help with?"
DANIEL_NOT_NOW_R_2,"No worries, take care!"

DANIEL_BIG_RED_1,"A giant red flower wailing at the edge of the Depths? Oh, I think I heard about that!"
DANIEL_BIG_RED_2,"I have been curious about them. They seem pretty great, especially if they bully Sonia."
DANIEL_BIG_RED_3,"If she's calmed down, then yeah I'm certainly willing to help!"
DANIEL_BIG_RED_4,"Anything you think I should know first?"
DANIEL_C_DEITY,"She's a deity"
DANIEL_C_FAT,"She's very very large"
DANIEL_C_LOVE,"She's cute and kissable"
DANIEL_C_VORE,"I think she eats people."

DANIEL_BR_DEITY_1,"Oh, a deity, huh? Well, I'll be sure to be gentle with her foliage."
DANIEL_BR_FAT_1,"Is she? Well, I don't have any qualms helping a fatter girl. That'd make me a hypocrite."
DANIEL_BR_LOVE_1,"Huh??? Like, do you want to kiss her, or is this some twisted date thing???"
DANIEL_BR_LOVE_2,"...'Cause like, I'm not opposed to a date-type thing, but I don't wanna take her from you-"
DANIEL_BR_LOVE_3,"-Okay I'll just stop talking now."
DANIEL_BR_GENERIC_END,"I should probably head over. Come on down to check out my work!"
DANIEL_BR_FRANK,"Frank, could you get the door? I'm heading out with Echo."
DANIEL_BR_WARNING_1,"...Huh. Y'know, I thought I heard someone crying out for some people to eat..."
DANIEL_BR_WARNING_2,"Thanks for the heads up, Echo. I'll tread carefully around her."

DANIEL_BR_BEFORE_LEAVE_1,"I'll meet you down there, alright?"
DANIEL_BR_BEFORE_LEAVE_2,"Don't worry about me, I have my ways of getting around."

DANIEL_DODGE_1,"Hey there, Echo! Turns out your warning was, very well-founded."
DANIEL_DODGE_2,"While I was trying to break the rocks around her, she turned around and swallowed me whole!"
DANIEL_DODGE_3,"But, thanks to you, I came prepared and found a way to slip out."
DANIEL_DODGE_4,"Now I'm locking her in jail for Vore Crimes."
DANIEL_DODGE_5,"Not only that, but when I was in her stomach, I saw she was hoarding this!"
DANIEL_DODGE_6,"I think that's yours. It should be a proper payment, anyhow."
DANIEL_DODGE_R_1,"I like to think I'm pretty open-minded, I don't judge what others are in to."
DANIEL_DODGE_R_2,"But, people like her? Ugh, I can't even begin to understand it!"
DANIEL_DODGE_R_3,"That humidity is killer! And she wanted MORE! I know plants like water, but isn't that overkill??"
DANIEL_DODGE_R_4,"Wait what did you think I was talking about?"

BIG_RED_JAIL_1,"...\n\nOh... Hi Echo..."
BIG_RED_JAIL_2,"I... really screwed up here."
BIG_RED_JAIL_3,"This super hot guy tried to free me, but he looked so tasty, I had to sneak a bite..."
BIG_RED_JAIL_4,"I had him down for like, 5 seconds max. Next thing you know, he's locking me up."
BIG_RED_JAIL_HUMID,"He didn't even respect my request to up the humidity! At least let me get a drink!!"
BIG_RED_JAIL_5,"I think. I'm just gonna sit here a while. And think about what I did."
BIG_RED_JAIL_R_1,"Y'know, he said something kinda weird before he jailed me."
BIG_RED_JAIL_R_2,"He said, ""You wanted a taste?? You could've just asked!"""
BIG_RED_JAIL_R_3,"Now what does that mean??"

BIG_RED_VORE_1,"Urghhhh... H-hi, Echo."
BIG_RED_VORE_2,"I just had the- urp- most wonderful encounter!"
BIG_RED_VORE_3,"This super hot guy came down, saying you sent him here to set me free."
BIG_RED_VORE_4,"And then he started working, and un-wedged me a little."
BIG_RED_VORE_5,"I was so excited I- urp- lunged out to show my gratitude!"
BIG_RED_VORE_6,"And jeez, I gotta say."
BIG_RED_VORE_7,"A bit of freedom AND a free dinner? Echo, you spoil me!"
BIG_RED_VORE_8,"I'd feel bad- hurp- just leaving you in the dust. So here, take this."
BIG_RED_VORE_R_1,"I'm a bit worried I'll regret doing this."
BIG_RED_VORE_R_2,"My stomach's been upset since I ate him. Like I'm getting with a mallet repeatedly."
BIG_RED_VORE_R_3,"Also, he was really fatty. I think that, with him in here, I'm more stuck than before."
BIG_RED_VORE_R_4,"...Could you, find someone else maybe? Someone stronger, a bit fatter, easier to digest too?"


SWORD_MURAL_1,"BURIED DEEP IN THE LAND OF FUNGI LIES A GRAND TREASURE"
SWORD_MURAL_2,"UNEARTH THE LEGENDARY BLADE FROM THE STONE AND BE A HERO"
SWORD_MURAL_3,"(HEROES are liable for all damages to the sword. The Sword Spirit takes no responsibility for injuries dealt by the sword.)"

HOME_CQ_SIGN,"My greatest treasure lives past this gate. Guard it with your life.\n     -CQ `"
